GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Catalog Service,com.telecom.catalog.web.dto,CreateOffreRequest,0,27,0,0,0,1,0,1,0,1
Catalog Service,com.telecom.catalog.web.dto,CreateServiceRequest,0,18,0,0,0,1,0,1,0,1
Catalog Service,com.telecom.catalog.web.dto,ServiceDto,0,24,0,0,0,1,0,1,0,1
Catalog Service,com.telecom.catalog.web.dto,OffreDto,0,33,0,0,0,1,0,1,0,1
Catalog Service,com.telecom.catalog.web.exception,GlobalExceptionHandler,145,0,2,0,31,0,12,0,11,0
Catalog Service,com.telecom.catalog.application,OffreService,22,232,6,14,0,58,6,15,0,11
Catalog Service,com.telecom.catalog.application,CatalogService,1,188,1,1,0,46,1,13,0,13
Catalog Service,com.telecom.catalog.domain.entity,ServiceEntity.ServiceCategory,0,33,0,0,0,2,0,1,0,1
Catalog Service,com.telecom.catalog.domain.entity,ServiceEntity,9,0,0,0,3,0,2,0,2,0
Catalog Service,com.telecom.catalog.domain.entity,Offre,13,26,8,6,5,4,7,2,1,1
Catalog Service,com.telecom.catalog.domain.entity,Offre.PaymentType,0,15,0,0,0,3,0,1,0,1
Catalog Service,com.telecom.catalog.domain.entity,Offre.OffreStatus,0,21,0,0,0,2,0,1,0,1
Catalog Service,com.telecom.catalog.infrastructure.config,OpenApiConfig,59,0,0,0,15,0,2,0,2,0
Catalog Service,com.telecom.catalog.infrastructure.config,SecurityConfig,117,0,0,0,20,0,6,0,6,0
Catalog Service,com.telecom.catalog.web.controller,ServiceController,42,0,0,0,8,0,7,0,7,0
Catalog Service,com.telecom.catalog.web.controller,OffreController,36,0,0,0,7,0,6,0,6,0
Catalog Service,com.telecom.catalog,CatalogServiceApplication,8,0,0,0,3,0,2,0,2,0
